num_accounts, cpu_temp, gpu_temp, mem_usage, cpu_usage, gpu_usage
1, 58.277672, 47.219242, 19.609524, 12.248636, 1.132423
10, 65.685679, 45.708061, 39.104317, 60.739290, 0.388530
20, 66.514987, 46.799475, 56.479016, 59.870577, 0.022354
30, 65.717781, 45.916912, 83.198052, 60.986043, 0.003525
40, 65.852124, 45.964907, 91.338437, 61.525441, 0.002043
